tr_index,time,spectral_flux,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,fundamental_frequency,rms_energy_db,category,is_music,is_silence,is_speech,is_speech_music
805,1208.2503401360543,-0.7352654502312594,-0.1925150667195836,-0.5754316514595358,-0.9541956203272298,-0.8309186924938085,-1.304065417341289,-0.9612873924342433,0.5128195669939787,-0.039836706242295086,1.014520496017556,2.0685486120619805,1.0438422618633374,1.661579742484784,1.524704567934984,1.016740193248767,-0.33423622519471846,-0.302981918132208,speech,False,False,True,False
806,1209.7480272108844,-0.17201835604490498,0.5731625343634887,-0.06118973232814912,-1.49309541084864,-1.0384662265712845,-1.5115706199110777,-1.5090741971157173,-0.022581440135704747,-0.9329256229274007,0.4296187371119239,2.2086673792672675,0.945153296640989,1.7657333224816945,1.7062398419319238,0.7487049024367834,-0.2993665528928474,0.18617859105597495,speech,False,False,True,False
807,1211.2457142857143,0.05830754375466914,0.6683914570478892,-0.020046737230212514,-1.5273456412418895,-0.6898888982369099,-0.7138920959700388,-1.414681840051054,-0.4666708551401799,-1.2282239180810963,-0.3370533165462819,1.7047437268724457,0.9092798578717217,1.2752350651259874,1.516007888401712,0.7770606202238549,-0.2487637859626872,-0.050064064901950284,speech,False,False,True,False
808,1212.7550113378686,-0.20016040717162922,0.18887129714762854,-0.34013561503686995,-1.0561201549931207,-0.06648504914237773,0.2628619269614784,-0.9016275867145015,-0.6057286933684185,-0.9083047492833971,-0.7229251846246583,0.9407476845296793,0.813436503463735,0.6463991009376302,1.1378838947635386,0.9724474243825499,-0.25288985471772646,-0.40186482045124533,silence,False,True,False,False
809,1214.2526984126985,-0.36773317449248877,-0.29770236338381484,-0.6704403760975306,-0.5225154339000997,0.5012648588673586,0.7120392779419352,-0.47266857035226095,-0.5622177237548893,-0.47296798394749007,-0.6653587412066232,0.5344640583922539,0.7008345913578442,0.06808856103648235,0.7340760811184961,1.1738099648882299,-0.3085634178044956,-0.428919916519419,speech,False,False,True,False
810,1215.7503854875283,0.2969468229403974,0.03832793669836095,-0.3699246574143814,-0.5398352214961968,0.5311841327414276,0.490325532160002,-0.5989973114698207,-0.6897532943391625,-0.8010401118878757,-0.9790129310939184,0.5548890992592344,0.3654858218905183,-0.40377194866178634,0.5791129600738625,0.8592591490874645,-0.2393140731585269,0.13185852886860142,speech,False,False,True,False
811,1217.2480725623582,0.3852441873805428,0.09392543519778253,-0.291014195603527,-0.5770607668386603,0.19874895512239604,0.061956621064384806,-0.6240340654981555,-0.6243632669404922,-0.9486097413849197,-0.8952270439567315,0.8969124010032424,0.4654396611669504,-0.17340015273506582,0.8318491421895968,0.7261548052137959,-0.280240332223654,-0.07157170290452895,speech,False,False,True,False
812,1218.7457596371883,0.03595245777292397,-0.22894048410944887,-0.5711606435249382,-0.5134537615498086,-0.034112759362779584,-0.2801831016889537,-0.4820581980030959,-0.3040575097475282,-0.6354854205210803,-0.3521270134027223,1.232156737042921,0.7242413355989541,0.34820105837352977,1.0988643690610111,0.9987240175475154,-0.39377175900248945,-0.45394058589486747,speech,False,False,True,False
813,1220.2550566893424,0.36351530658007153,0.014195232344796973,-0.5620840894896324,-0.6854119630778267,0.2117451689528143,-0.5096057123223785,-0.6015693955268031,-0.28204009276046743,-0.672238265108718,-0.5064210288836772,1.021708201984439,0.41951626636157424,0.3654645870763547,1.2049180009721314,1.0095031967914974,-0.288483575516199,-0.0838228518341406,speech,False,False,True,False
814,1221.7527437641722,0.789163790991152,0.4452854690192346,-0.43984242779944666,-0.94472877251,0.4947223644499814,-0.7931095480282357,-0.9487042004784656,-0.5444099584335472,-0.8913729286049014,-0.8418878456719397,0.9937408120496759,0.24076108501223786,0.36062861783632005,1.4503274255935856,0.8580580901103502,-0.009386704016646673,0.5250697120555651,speech,False,False,True,False
815,1223.2504308390023,0.9323998445066298,0.7182033755038487,-0.33958455820052913,-1.106144489705129,0.632309352252024,-1.0009188869235122,-1.5067136988215095,-0.9278745892198711,-0.8756889800404616,-0.868123974804104,1.0730280056915902,0.1340162730423309,0.46174034586649576,1.6491097678076612,0.6742405862703084,0.2784172075890834,0.9033064732326392,speech,False,False,True,False
816,1224.7481179138322,1.2704312487491627,0.9605336098553129,-0.11953071203435929,-1.2102415603374796,0.645689039659565,-0.9409434798591204,-2.0164404916183436,-1.2602497705357338,-0.9673320525503586,-1.002075418799026,0.9983602310126635,-0.10169410972697958,0.45411355131463343,1.4332255301601584,0.3589108501414415,0.43308844692147963,1.0400255789190778,speech,False,False,True,False
817,1226.245804988662,1.6832985270233265,1.1165518343193057,0.1966494580437132,-1.2048910887959041,0.5250568725763777,-0.5202430239349253,-2.1270920539079117,-1.5439220135510123,-1.404639200219981,-1.3276562222218304,0.7713038890104981,-0.40334067060276885,0.363775685147383,1.182864916836567,-0.07333154277388919,0.3409888824989764,1.0338387521706591,speech,False,False,True,False
818,1227.7551020408164,1.9093104096601112,1.199146134838027,0.5589159960634915,-1.1237263753621554,0.23728128639908388,-0.031136040794604077,-1.8660811143676308,-1.5816950735747195,-1.8205558239351605,-1.5118230989850578,0.4742615891853508,-0.5540002029536367,0.4374743979575878,1.029172236119313,-0.46555328840574495,0.09759380780771128,0.9220152676548917,speech,False,False,True,False
